round,center,acc,prec0,rec0,auroc,auprc,f1macro
0,264,0.94554454,nan,0.0,0.8510233222275108,0.3288791271318161,0.4860050890585242
0,264,0.94554454,nan,0.0,0.8510233222275108,0.3288791271318161,0.4860050890585242
0,420,0.89115644,nan,0.0,0.9522900763358779,0.7747679190019372,0.4712230215827338
0,443,0.919708,nan,0.0,0.9098124098124099,0.5096344709280196,0.4790874524714829
0,458,0.875,nan,0.0,0.7645089285714285,0.3219815926259263,0.4666666666666667
0,338,0.928,nan,0.0,0.8754789272030651,0.39851334249297315,0.48132780082987553
0,252,0.8796296,nan,0.0,0.7489878542510121,0.3891281650119942,0.46798029556650245
0,122,0.9150943,nan,0.0,0.9942726231386025,0.9512701804368471,0.47783251231527096
0,300,0.9326923,nan,0.0,0.7172312223858616,0.3094263172296068,0.48258706467661694
0,188,0.9019608,nan,0.0,0.7760869565217392,0.5439902659427853,0.4742268041237113
0,73,0.99019605,nan,0.0,0.9702970297029703,0.125,0.4975369458128079
1,264,0.94554454,nan,0.0,0.863398381722989,0.3362587266865671,0.4860050890585242
1,420,0.89115644,nan,0.0,0.9575381679389313,0.8194643626991054,0.4712230215827338
1,443,0.919708,nan,0.0,0.9112554112554114,0.5250584395656033,0.4790874524714829
1,458,0.875,nan,0.0,0.7963169642857143,0.34674680312200157,0.4666666666666667
1,338,0.928,nan,0.0,0.8888888888888888,0.5451525542957218,0.48132780082987553
1,252,0.8796296,nan,0.0,0.757085020242915,0.4272237119180736,0.46798029556650245
1,122,0.9150943,nan,0.0,0.9919816723940434,0.9353344186677521,0.47783251231527096
1,300,0.9326923,nan,0.0,0.7172312223858616,0.20280701522095596,0.48258706467661694
1,188,0.9019608,nan,0.0,0.8032608695652174,0.553307448654698,0.4742268041237113
1,73,0.99019605,nan,0.0,0.9801980198019802,0.16666666666666666,0.4975369458128079
2,264,0.94554454,nan,0.0,0.8648262732032366,0.3430396066070754,0.4860050890585242
0,264,0.94554454,nan,0.0,0.8514992860542598,0.3290174381878487,0.4860050890585242
0,420,0.89115644,nan,0.0,0.9522900763358779,0.7747679190019372,0.4712230215827338
0,443,0.919708,nan,0.0,0.9098124098124099,0.5096344709280196,0.4790874524714829
0,458,0.875,nan,0.0,0.7645089285714285,0.3219815926259263,0.4666666666666667
0,338,0.928,nan,0.0,0.8754789272030651,0.39851334249297315,0.48132780082987553
0,252,0.8796296,nan,0.0,0.7489878542510121,0.3891281650119942,0.46798029556650245
0,122,0.9150943,nan,0.0,0.9942726231386025,0.9512701804368471,0.47783251231527096
0,300,0.9326923,nan,0.0,0.7172312223858616,0.3094263172296068,0.48258706467661694
0,188,0.9019608,nan,0.0,0.7760869565217392,0.5439902659427853,0.4742268041237113
0,73,0.99019605,nan,0.0,0.9702970297029703,0.125,0.4975369458128079
1,264,0.94554454,nan,0.0,0.8629224178962398,0.33620226205527554,0.4860050890585242
1,420,0.89115644,nan,0.0,0.9575381679389313,0.8194643626991054,0.4712230215827338
1,443,0.919708,nan,0.0,0.9112554112554114,0.5250584395656033,0.4790874524714829
1,458,0.875,nan,0.0,0.7963169642857143,0.34674680312200157,0.4666666666666667
1,338,0.928,nan,0.0,0.8888888888888888,0.5451525542957218,0.48132780082987553
